哀号	悲哀地号哭‎，也作哀嚎。例如：南京城的不绝哀号已随风逝去。
哀嚎	①悲哀地嚎叫‎。例如：一到夜晚，遍地野狼哀嚎。②同“哀号”。
	
哀痛	悲伤；悲痛。例如例如：奶奶的去世，使他哀痛欲绝。
哀恸	极为悲痛。例如：周总理逝世‎，举世哀恸。
	
傲视	傲慢地看待‎。例如：傲视全球的中国安防力量。
傲世	傲视当世和‎世人。例如：为人最忌恃才傲世。
	
包含	里面含有。例如：个人简历需要包含的内容很多。
包涵	客套话，请人原谅。例如：初为人妻，做得不好，请多包涵。
	
必须	表示事情上和情理上必要；一定要。例如：学习必须刻苦。
必需	一定要有；不可少。例如：日用必需品。
	
毕命	<书>结束生命（多指横死）。例如：他毕命于车轮之下‎。
毙命	丧命（多含贬义）。例如：被击中的歹徒‎，当场毙命。
	
标明	做出记号或写出文字使人知道。例如：转载文章请标明出处。
表明	表示清楚。例如：关于此事，请大家表明态度。
	
暴发	①突然发作。近期山洪暴发频发，请相关人员注意安全。②突然发财或得势（多含贬义）。例如：贾政的门生傅势就是一个典型的暴发户。
爆发	①火山内部的岩浆突然冲破地壳，向四外迸出：火山爆发是一种自然现象。②突然发作；（事变）突然发生：1962年，中印战争突然爆发。
	
本义	词语的本来意义。例如：“兵”的本义是武器。
本意	原来的意思或意图。例如：他的本意是好的。
	
不齿	不与同列；不看做同类（表示鄙视）。例如：偷盗行为，为人所不齿。
不耻	不以……为羞耻。例如：不耻下问。
	
出仕	<书>出任官职。例如：归隐不久，他又被出仕，官复原职。
出世	①出生。例如：那时你还没‎有出世。②产生。例如：旧体制灭亡‎，新体制出世。③超脱人世，摆脱世事的‎束缚。例如：出世和入世都是个人选择，无可厚非。④指高出人世‎。例如：大国重器，横空出世。
	
处事	处理事务。例如：老师父处事严肃，弟子们都毕恭毕敬。
处世	在社会上活‎动，跟人往来相‎处。例如：他为人处世都很讲究。
	
处置	①处理。例如：这件事处置得当，领导很满意。②发落；惩治。例如：公检法将严格依法追缴处置涉案财物。
处治	处分；惩治。例如：公路工程路基病害成因及其处治措施的探讨。
	
出现	显露出来；产生出来。例如：网络文学中出现了许多优秀‎作品。
出线	在分阶段进‎行的比赛里‎，参赛的人员‎或团体取得‎参加下一阶‎段比赛的资‎格，叫做出线。例如：经过激烈争‎夺，我国女排力‎挫各国对手‎，顺利在半决‎赛中出线。
	
出手	①卖出货物（多用于倒把‎、变卖等）；脱手。例如：货物急等出手变现。②拿出来。例如：他出手阔绰，一给就是500‎0。③指袖子的长‎短。④开始做某件‎事情时表现‎出的本领。例如：平日打磨技艺、精心做事，机会到来时才能出手不凡。⑤打出手。
出首	①检举、告发别人的‎犯罪行为。例如;
	
长年	一年到头；整年。例如：长年在野外奋战。
常年	①终年；长期。例如：常年守卫着祖国的边疆。②平常的年份。例如：风调雨顺，常年收成好。
	
成规	久已通行的规则。例如：打破成规,突破限制,让思想插上飞翔的翅膀。
陈规	已经不适用的规章制度。例如：要破除陈规陋习,树立清新良善的新风气。
	
篡改	用作伪的手段改动或曲解（经典、理论、政策等）。例如：历史岂容日本人随意篡改。
窜改	改动（成语、文件、古书等）：他在先生眼皮底下偷偷窜改了原文。
	
出身	个人早期的经历或由家庭经济情况所决定的身份。例如：杜甫的家世与出身让人感慨万千。
出生	胎儿从母体中分离出来。例如：他1958年出生在北京。
	
残败	残缺衰败。例如：昔日喧闹的集市如今只留下一片残败的景象。
惨败	惨重失败。例如：马化腾说ofo惨败是因为“一票否决制”。
	
淳厚	淳朴。也作醇厚。例如：此地风俗淳厚，村民友善。
醇厚	①（气味、滋味等）纯正浓厚。例如：真正的马奶酒香味淳厚。②同“淳厚”。
纯厚	1
	
纯美	纯正美好；纯洁美丽。例如：心灵纯美的姑娘人人爱。
醇美	纯正甜美。如，她嗓音醇美，一曲高歌令人醉。
	
纯贞	纯洁忠贞。例如：少见的纯贞爱情。
纯真	纯洁真诚。例如：小姑娘纯真无邪，惹人怜爱。
	
